QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,COUNTRY,DEALSIZE
30,95.7,2,2871,Shipped,1,2,2003,Motorcycles,95,USA,Small
34,81.35,5,2765.9,Shipped,2,5,2003,Motorcycles,95,France,Small
41,94.74,2,3884.34,Shipped,3,7,2003,Motorcycles,95,France,Medium
45,83.26,6,3746.7,Shipped,3,8,2003,Motorcycles,95,USA,Medium
49,100,14,5205.27,Shipped,4,10,2003,Motorcycles,95,USA,Medium
36,96.66,1,3479.76,Shipped,4,10,2003,Motorcycles,95,USA,Medium
29,86.13,9,2497.77,Shipped,4,11,2003,Motorcycles,95,France,Small
48,100,1,5512.32,Shipped,4,11,2003,Motorcycles,95,Norway,Medium
22,98.57,2,2168.54,Shipped,4,12,2003,Motorcycles,95,USA,Small
41,100,14,4708.44,Shipped,1,1,2004,Motorcycles,95,France,Medium
37,100,1,3965.66,Shipped,1,2,2004,Motorcycles,95,Australia,Medium
23,100,7,2333.12,Shipped,2,4,2004,Motorcycles,95,USA,Small
28,100,2,3188.64,Shipped,2,5,2004,Motorcycles,95,USA,Medium
34,100,2,3676.76,Shipped,2,6,2004,Motorcycles,95,USA,Medium
45,92.83,1,4177.35,Shipped,3,7,2004,Motorcycles,95,France,Medium
36,100,6,4099.68,Shipped,3,8,2004,Motorcycles,95,USA,Medium
23,100,9,2597.39,Shipped,3,9,2004,Motorcycles,95,Finland,Small
41,100,5,4394.38,Shipped,4,10,2004,Motorcycles,95,Norway,Medium
46,94.74,1,4358.04,Shipped,4,11,2004,Motorcycles,95,USA,Medium
42,100,1,4396.14,Shipped,4,11,2004,Motorcycles,95,USA,Medium
41,100,9,7737.93,Shipped,4,11,2004,Motorcycles,95,Austria,Large
20,72.55,13,1451,Shipped,4,12,2004,Motorcycles,95,Australia,Small
21,34.91,12,733.11,Shipped,1,2,2005,Motorcycles,95,France,Small
42,76.36,4,3207.12,Shipped,1,3,2005,Motorcycles,95,USA,Medium
24,100,7,2434.56,Shipped,2,4,2005,Motorcycles,95,UK,Small
66,100,2,7516.08,Disputed,2,5,2005,Motorcycles,95,Spain,Large
26,100,11,5404.62,Shipped,1,1,2003,Classic Cars,214,Norway,Medium
29,100,1,7209.11,Shipped,1,3,2003,Classic Cars,214,Sweden,Large
38,100,11,7329.06,Shipped,2,5,2003,Classic Cars,214,Spain,Large
37,100,11,7374.1,Shipped,3,7,2003,Classic Cars,214,USA,Large
45,100,8,10993.5,Shipped,3,9,2003,Classic Cars,214,Singapore,Large
21,100,1,4860.24,Shipped,4,10,2003,Classic Cars,214,USA,Medium
34,100,4,8014.82,Shipped,4,11,2003,Classic Cars,214,Australia,Large
23,100,8,5372.57,Shipped,4,11,2003,Classic Cars,214,USA,Medium
42,100,11,7290.36,Shipped,4,11,2003,Classic Cars,214,France,Large
47,100,6,9064.89,Shipped,4,12,2003,Classic Cars,214,Canada,Large
35,100,3,6075.3,Shipped,1,1,2004,Classic Cars,214,USA,Medium
29,100,2,6463.23,Shipped,1,3,2004,Classic Cars,214,USA,Medium
34,100,9,6120.34,Shipped,2,5,2004,Classic Cars,214,USA,Medium
32,100,6,7680.64,Shipped,2,6,2004,Classic Cars,214,Japan,Large
21,100,9,4905.39,Shipped,3,7,2004,Classic Cars,214,Australia,Medium
34,100,2,8014.82,Shipped,3,8,2004,Classic Cars,214,Italy,Large
37,100,11,7136.19,Shipped,3,9,2004,Classic Cars,214,Sweden,Large
47,100,6,10172.7,Shipped,4,10,2004,Classic Cars,214,France,Large
48,100,3,11623.7,Shipped,4,10,2004,Classic Cars,214,USA,Large
40,100,1,6000.4,Shipped,4,11,2004,Classic Cars,214,USA,Medium
26,100,3,3003,Shipped,4,11,2004,Classic Cars,214,USA,Medium
30,100,1,3944.7,Shipped,4,11,2004,Classic Cars,214,Australia,Medium
32,100,10,5691.84,Shipped,4,12,2004,Classic Cars,214,USA,Medium
41,100,2,4514.92,Shipped,1,1,2005,Classic Cars,214,USA,Medium
36,100,3,8254.8,Shipped,1,2,2005,Classic Cars,214,USA,Large
24,100,4,2416.56,Shipped,1,3,2005,Classic Cars,214,Australia,Small
23,100,9,4140.23,Shipped,2,5,2005,Classic Cars,214,Canada,Medium
50,100,6,12001,In Process,2,5,2005,Classic Cars,214,Spain,Large
39,99.91,5,3896.49,Shipped,1,2,2003,Motorcycles,118,USA,Medium
29,96.34,3,2793.86,Shipped,2,4,2003,Motorcycles,118,Australia,Small
27,100,5,3307.77,Shipped,3,7,2003,Motorcycles,118,France,Medium
37,100,9,5192.95,Shipped,3,8,2003,Motorcycles,118,USA,Medium
37,100,17,5016.83,Shipped,4,10,2003,Motorcycles,118,USA,Medium
27,100,4,3660.93,Shipped,4,10,2003,Motorcycles,118,USA,Medium
42,100,12,4695.6,Shipped,4,11,2003,Motorcycles,118,France,Medium
38,96.34,4,3660.92,Shipped,4,11,2003,Motorcycles,118,Norway,Medium
24,100,5,3025.92,Shipped,4,12,2003,Motorcycles,118,USA,Medium
23,100,2,3009.09,Shipped,1,1,2004,Motorcycles,118,Japan,Medium
47,100,4,5422.39,Shipped,1,2,2004,Motorcycles,118,Australia,Medium
22,100,1,2852.08,Shipped,2,4,2004,Motorcycles,118,USA,Small
44,100,5,5756.52,Shipped,2,5,2004,Motorcycles,118,USA,Medium
40,100,5,4472,Shipped,2,6,2004,Motorcycles,118,USA,Medium
22,100,4,2904.44,Shipped,3,7,2004,Motorcycles,118,France,Small
47,100,9,6484.59,Shipped,3,8,2004,Motorcycles,118,USA,Medium
39,96.34,1,3757.26,Shipped,3,9,2004,Motorcycles,118,France,Medium
34,100,2,4043.96,Shipped,4,10,2004,Motorcycles,118,USA,Medium
45,100,4,5566.5,Shipped,4,11,2004,Motorcycles,118,USA,Medium
20,100,2,3176,Shipped,4,11,2004,Motorcycles,118,USA,Medium
40,68.92,4,2756.8,Shipped,4,11,2004,Motorcycles,118,Japan,Small
26,51.15,8,1329.9,Shipped,4,12,2004,Motorcycles,118,Australia,Small
39,100,5,5288.01,Shipped,1,2,2005,Motorcycles,118,Australia,Medium
50,44.51,5,2225.5,Shipped,1,3,2005,Motorcycles,118,USA,Small
45,100,1,5833.8,Shipped,2,4,2005,Motorcycles,118,France,Medium
45,100,5,5887.35,Disputed,2,5,2005,Motorcycles,118,Spain,Medium
27,100,4,6065.55,Shipped,1,2,2003,Motorcycles,193,USA,Medium
46,100,2,9264.86,Shipped,2,4,2003,Motorcycles,193,Australia,Large
31,100,4,7023.98,Shipped,3,7,2003,Motorcycles,193,France,Large
33,100,8,5176.38,Shipped,3,8,2003,Motorcycles,193,USA,Medium
22,100,16,4132.7,Shipped,4,10,2003,Motorcycles,193,USA,Medium
20,100,3,4183,Shipped,4,10,2003,Motorcycles,193,USA,Medium
41,100,11,8892.9,Shipped,4,11,2003,Motorcycles,193,France,Large
45,100,3,8714.7,Shipped,4,11,2003,Motorcycles,193,Norway,Large
49,100,4,8065.89,Shipped,4,12,2003,Motorcycles,193,USA,Large
34,100,1,6123.4,Shipped,1,1,2004,Motorcycles,193,Japan,Medium
49,100,3,9774.03,Shipped,1,2,2004,Motorcycles,193,Australia,Large
39,100,9,7023.9,Shipped,2,4,2004,Motorcycles,193,USA,Large
43,100,4,7078.23,Shipped,2,5,2004,Motorcycles,193,USA,Large
41,100,4,8336.94,Shipped,2,6,2004,Motorcycles,193,USA,Large
36,100,3,6901.92,Shipped,3,7,2004,Motorcycles,193,France,Medium
27,100,8,5438.07,Shipped,3,8,2004,Motorcycles,193,USA,Medium
29,100,11,6683.34,Shipped,3,9,2004,Motorcycles,193,Finland,Medium
20,100,1,4570.4,Shipped,4,10,2004,Motorcycles,193,USA,Medium
37,100,3,7667.14,Shipped,4,11,2004,Motorcycles,193,USA,Large
26,100,3,5868.2,Shipped,4,11,2004,Motorcycles,193,USA,Medium
39,76.67,3,2990.13,Shipped,4,11,2004,Motorcycles,193,Japan,Small
22,100,4,3664.1,Shipped,1,1,2005,Motorcycles,193,USA,Medium
22,100,1,3834.38,Shipped,1,2,2005,Motorcycles,193,Australia,Medium
21,86.77,7,1822.17,Shipped,1,3,2005,Motorcycles,193,USA,Small
66,100,9,11886.6,Shipped,2,4,2005,Motorcycles,193,UK,Large
56,100,4,9218.16,Disputed,2,5,2005,Motorcycles,193,Spain,Large
50,100,2,7208,Shipped,1,2,2003,Classic Cars,136,Denmark,Large
46,100,11,5004.8,Shipped,2,4,2003,Classic Cars,136,Austria,Medium
33,100,2,4398.24,Shipped,2,6,2003,Classic Cars,136,UK,Medium
49,100,15,5597.76,Shipped,3,8,2003,Classic Cars,136,USA,Medium
32,100,13,4526.08,Shipped,4,10,2003,Classic Cars,136,Finland,Medium
44,100,9,5924.16,Cancelled,4,10,2003,Classic Cars,136,Sweden,Medium
24,100,12,3492.48,Shipped,4,11,2003,Classic Cars,136,France,Medium
26,100,9,3854.24,Shipped,4,11,2003,Classic Cars,136,UK,Medium
45,100,6,5324.4,Shipped,4,11,2003,Classic Cars,136,Spain,Medium
39,100,8,5197.92,Shipped,1,1,2004,Classic Cars,136,USA,Medium
49,100,12,5997.6,Shipped,1,2,2004,Classic Cars,136,USA,Medium
20,100,3,2910.4,Cancelled,2,5,2004,Classic Cars,136,USA,Small
27,100,1,3378.24,Shipped,2,6,2004,Classic Cars,136,Canada,Medium
30,100,4,3508.8,Shipped,3,7,2004,Classic Cars,136,Belgium,Medium
25,100,6,2992,Shipped,3,8,2004,Classic Cars,136,Canada,Small
24,100,1,3427.2,Shipped,3,9,2004,Classic Cars,136,USA,Medium
22,100,9,2692.8,Shipped,4,10,2004,Classic Cars,136,USA,Small
33,100,17,4128.96,Shipped,4,11,2004,Classic Cars,136,UK,Medium
47,64.93,6,3051.71,Shipped,4,11,2004,Classic Cars,136,Norway,Medium
25,48.05,8,1201.25,Shipped,4,11,2004,Classic Cars,136,USA,Small
26,75.47,5,1962.22,Shipped,4,12,2004,Classic Cars,136,Spain,Small
48,54.68,6,2624.64,Shipped,4,12,2004,Classic Cars,136,France,Small
39,100,3,4046.25,Shipped,1,1,2005,Classic Cars,136,Finland,Medium
34,100,4,4846.7,Shipped,1,2,2005,Classic Cars,136,USA,Medium
32,100,2,3370.56,Shipped,1,3,2005,Classic Cars,136,France,Medium
64,100,9,9661.44,Shipped,2,4,2005,Classic Cars,136,USA,Large
19,100,3,2764.88,On Hold,2,5,2005,Classic Cars,136,USA,Small
42,100,4,5398.26,Shipped,1,1,2003,Classic Cars,147,Norway,Medium
31,100,8,4305.28,Shipped,2,4,2003,Classic Cars,147,France,Medium
22,100,4,3347.74,Shipped,2,5,2003,Classic Cars,147,Spain,Medium
26,100,4,3188.12,Shipped,3,7,2003,Classic Cars,147,USA,Medium
20,100,1,3191.2,Shipped,3,9,2003,Classic Cars,147,Singapore,Medium
21,100,2,3536.82,Resolved,4,10,2003,Classic Cars,147,Austria,Medium
33,100,9,5362.83,Shipped,4,11,2003,Classic Cars,147,UK,Medium
28,100,1,3433.36,Shipped,4,11,2003,Classic Cars,147,USA,Medium
26,100,4,4263.74,Shipped,4,11,2003,Classic Cars,147,France,Medium
31,100,15,4076.19,Shipped,4,12,2003,Classic Cars,147,USA,Medium
48,100,4,7020.48,Shipped,1,2,2004,Classic Cars,147,Singapore,Large
50,100,9,6426.5,Shipped,1,3,2004,Classic Cars,147,USA,Medium
28,100,2,4591.72,Shipped,2,5,2004,Classic Cars,147,USA,Medium
26,100,12,4033.38,Shipped,2,6,2004,Classic Cars,147,Singapore,Medium
32,100,2,4302.08,Shipped,3,7,2004,Classic Cars,147,Australia,Medium
44,100,9,7020.64,Shipped,3,8,2004,Classic Cars,147,USA,Large
30,100,4,3855.9,Shipped,3,9,2004,Classic Cars,147,Sweden,Medium
38,100,13,6680.78,Shipped,4,10,2004,Classic Cars,147,USA,Medium
40,100,7,6678,Shipped,4,10,2004,Classic Cars,147,Canada,Medium
46,61.99,8,2851.54,Shipped,4,11,2004,Classic Cars,147,USA,Small
26,100,2,3188.12,On Hold,4,11,2004,Classic Cars,147,Sweden,Medium
27,100,2,4428,Shipped,4,11,2004,Classic Cars,147,Australia,Medium
43,100,9,5780.92,Shipped,4,12,2004,Classic Cars,147,USA,Medium
35,65.63,4,2297.05,Shipped,1,1,2005,Classic Cars,147,Australia,Small
37,100,6,6231.54,Shipped,1,2,2005,Classic Cars,147,USA,Medium
37,46.9,7,1735.3,Shipped,1,3,2005,Classic Cars,147,Australia,Small
27,100,2,4427.73,Shipped,2,5,2005,Classic Cars,147,Canada,Medium
38,100,12,5894.94,In Process,2,5,2005,Classic Cars,147,France,Medium
33,100,6,5265.15,Shipped,1,3,2003,Classic Cars,194,Philippines,Medium
42,100,10,7599.9,Shipped,2,5,2003,Classic Cars,194,France,Large
42,100,7,8008.56,Shipped,3,7,2003,Classic Cars,194,USA,Large
48,100,7,9245.76,Shipped,3,9,2003,Classic Cars,194,USA,Large
41,100,2,8296.35,Shipped,4,10,2003,Classic Cars,194,USA,Large
30,100,2,5019.9,Shipped,4,11,2003,Classic Cars,194,Australia,Medium
27,100,14,5411.07,Shipped,4,11,2003,Classic Cars,194,Norway,Medium
21,100,3,3840.9,Shipped,4,11,2003,Classic Cars,194,Germany,Medium
20,100,8,3930.4,Shipped,4,12,2003,Classic Cars,194,Spain,Medium
41,100,2,7498.9,Shipped,1,1,2004,Classic Cars,194,France,Large
27,100,9,4517.91,Shipped,1,2,2004,Classic Cars,194,Switzerland,Medium
28,100,3,5774.72,Shipped,2,4,2004,Classic Cars,194,Denmark,Medium
